timesteps,episode_idx,ep_reward,ep_len,event,final_dist,min_dist,sum_r_progress,sum_r_close,sum_r_zem,approx_kl,clip_fraction,entropy_loss,explained_variance,value_loss,policy_gradient_loss,max_action_mag,max_accel_norm,time_to_hit
36653,29,-2469.296211,1011,running,87808.5546875,inf,0.0,0.0,0.0,0.00011235949932597578,0.0,-2.86413534283638,0.022688090801239014,502480.117578125,-0.00020213826501276345,0.0,0.0,nan
37498,30,-6704.287799,845,running,170055.140625,inf,0.0,0.0,0.0,0.0015514361439272761,0.000341796875,-2.863956007361412,0.01886230707168579,247887.81828613282,-0.001009254701784812,0.0,0.0,nan
38757,31,-6688.569653,1259,running,145747.203125,inf,0.0,0.0,0.0,0.0015514361439272761,0.000341796875,-2.863956007361412,0.01886230707168579,247887.81828613282,-0.001009254701784812,0.0,0.0,nan
39626,32,-5928.906848,869,running,93374.59375,inf,0.0,0.0,0.0,0.00012983861961402,0.0,-2.868469086289406,0.025955557823181152,337628.408984375,-0.0002290345524670556,0.0,0.0,nan
40783,33,-3004.628169,1157,running,190959.78125,inf,0.0,0.0,0.0,0.00012983861961402,0.0,-2.868469086289406,0.025955557823181152,337628.408984375,-0.0002290345524670556,0.0,0.0,nan
42019,34,-6587.561729,1236,running,116040.6015625,inf,0.0,0.0,0.0,0.00015554612036794424,0.0,-2.8718722820281983,0.039278388023376465,166001.16209716798,-0.0002240169982542284,0.0,0.0,nan
43241,35,-7581.207131,1222,running,71039.0078125,inf,0.0,0.0,0.0,0.0015021389117464423,0.00126953125,-2.8694987893104553,0.03495669364929199,193668.40394287108,-0.0017267954448470847,0.0,0.0,nan
44423,36,-2958.230446,1182,running,167060.515625,inf,0.0,0.0,0.0,0.0015021389117464423,0.00126953125,-2.8694987893104553,0.03495669364929199,193668.40394287108,-0.0017267954448470847,0.0,0.0,nan
45396,37,-5731.840722,973,running,87260.6171875,inf,0.0,0.0,0.0,0.002622918225824833,0.006005859375,-2.8660431087017058,0.04128873348236084,186427.7611816406,-0.0035664859547978266,0.0,0.0,nan
46259,38,-7168.504661,863,running,86364.9140625,inf,0.0,0.0,0.0,0.002622918225824833,0.006005859375,-2.8660431087017058,0.04128873348236084,186427.7611816406,-0.0035664859547978266,0.0,0.0,nan
47526,39,-2847.492317,1267,running,132135.828125,inf,0.0,0.0,0.0,0.004481104668229818,0.010400390625,-2.8663146525621412,0.019803881645202637,332559.9532226563,-0.00374960481422022,0.0,0.0,nan
48425,40,-6836.869017,899,running,107625.84375,inf,0.0,0.0,0.0,0.004481104668229818,0.010400390625,-2.8663146525621412,0.019803881645202637,332559.9532226563,-0.00374960481422022,0.0,0.0,nan
49384,41,-6907.572022,959,running,164471.34375,inf,0.0,0.0,0.0,0.002054238226264715,0.000634765625,-2.864705592393875,0.036749422550201416,206066.29853515624,-0.0013107964216032997,0.0,0.0,nan
50447,42,-6061.232767,1063,running,101268.234375,inf,0.0,0.0,0.0,0.002054238226264715,0.000634765625,-2.864705592393875,0.036749422550201416,206066.29853515624,-0.0013107964216032997,0.0,0.0,nan
51323,43,-6427.40024,876,running,175303.34375,inf,0.0,0.0,0.0,0.004392734728753567,0.012890625,-2.8589101165533064,0.031540751457214355,363333.94775390625,-0.004308702837442979,0.0,0.0,nan
52229,44,-6650.194445,906,running,144492.171875,inf,0.0,0.0,0.0,0.004392734728753567,0.012890625,-2.8589101165533064,0.031540751457214355,363333.94775390625,-0.004308702837442979,0.0,0.0,nan
53241,45,-5960.254336,1012,running,99568.3984375,inf,0.0,0.0,0.0,0.004392734728753567,0.012890625,-2.8589101165533064,0.031540751457214355,363333.94775390625,-0.004308702837442979,0.0,0.0,nan
54284,46,-6946.648172,1043,running,124495.46875,inf,0.0,0.0,0.0,0.00011201182496733963,0.0,-2.8610936373472216,0.031352996826171875,565270.6205078125,-0.00022784141474403442,0.0,0.0,nan
55065,47,-5750.475623,781,running,71529.515625,inf,0.0,0.0,0.0,0.00011201182496733963,0.0,-2.8610936373472216,0.031352996826171875,565270.6205078125,-0.00022784141474403442,0.0,0.0,nan
55818,48,-6483.833046,753,running,94104.2890625,inf,0.0,0.0,0.0,0.0015930102672427893,0.00126953125,-2.8632203549146653,0.0410768985748291,336541.48984375,-0.0015972118446370587,0.0,0.0,nan
